entity,rating_date,local_currency,foreign_currency
Nan Ya Plastics Corp.,2020-10-16,BBB+,BBB+
Formosa Chemicals & Fibre Corp.,2020-10-16,BBB+,BBB+
Formosa Petrochemical Corp.,2020-10-16,BBB+,BBB+
Formosa Plastics Corp.,2020-10-16,BBB+,BBB+
Wan Hai Lines Ltd.,2020-04-14,BB+,BB+
Far EasTone Telecommunications Co. Ltd.,2020-01-21,BBB-,BBB-
Hon Hai Precision Industry Co. Ltd.,2018-10-26,A-,A-
Taiwan Semiconductor Manufacturing Co. Ltd.,2018-09-26,AA-,AA-
Taiwan Power Co.,2018-06-25,AA-,AA-
Taoyuan International Airport Corp.,2016-12-07,A+,A+
Chunghwa Telecom Co. Ltd.,2014-12-11,AA,AA
Orsted A/S,2014-05-15,BBB+,BBB+
Fubon Financial Holding Co. Ltd.,2020-04-29,BBB+,BBB+
Cathay Financial Holding Co. Ltd.,2020-04-29,BBB+,BBB+
Taishin Financial Holding Co. Ltd.,2019-10-17,BBB,BBB
SinoPac Holdings,2018-08-13,BBB,BBB
Taiwan Cooperative Financial Holding Co. Ltd.,2018-01-19,BBB,BBB
E.SUN Financial Holding Co. Ltd.,2017-05-09,BBB,BBB
First Financial Holding Co. Ltd.,2017-04-17,BBB,BBB
CTBC Financial Holding Co. Ltd.,2017-04-17,BBB,BBB
China Development Financial Holding Corp.,2014-08-04,BBB-,BBB-
Shin Kong Life Insurance Co. Ltd.,2020-05-29,BBB,
"Nan Shan General Insurance Co. Ltd.（Formerly: Chartis Taiwan Insurance Co., Ltd.）",2020-04-29,BBB+,
Nan Shan Life Insurance Co. Ltd.,2020-04-29,BBB+,
Fubon Insurance Co. Ltd.,2020-04-29,A-,
Fubon Life Insurance Co. Ltd.,2020-04-29,A-,
Tokio Marine Newa Insurance Co. Ltd.,2020-04-29,A,
Cathay Century Insurance Co. Ltd.,2020-04-29,A-,
Cathay Life Insurance Co. Ltd.,2020-04-29,A-,
Taiwan Life Insurance Co. Ltd.,2019-11-08,BBB+,
Shinkong Insurance Co. Ltd.,2018-11-23,A,
First Insurance Co. Ltd. (The),2018-11-20,A-,
Chung Kuo Insurance Co. Ltd.,2017-09-27,A-,
Union Insurance Co. Ltd.,2015-09-11,A-,
Taiwan Fire & Marine Insurance Co. Ltd.,2013-07-03,A-,
Taian Insurance Co. Ltd,2013-07-03,A-,
Central Reinsurance Corp.,2013-06-10,A,
MSIG Mingtai Insurance Co. Ltd.,2012-02-23,A,
BankTaiwan Life Insurance Co. Ltd.,2011-09-29,A+,
Taiwan Shin Kong Commercial Bank Co. Ltd.,2020-05-29,BBB,BBB
Chang Hwa Commercial Bank Ltd.,2019-10-29,A-,A-
Standard Chartered Bank (Taiwan) Ltd.,2019-10-22,A,A
Taishin International Bank Co. Ltd.,2019-10-17,BBB+,BBB+
E.SUN Commercial Bank Ltd.,2019-06-21,A-,A-
Union Bank of Taiwan,2019-03-07,BBB-,BBB-
Bank SinoPac,2018-08-13,BBB+,BBB+
Hua Nan Commercial Bank Ltd.,2018-07-25,A-,A-
Taiwan Cooperative Bank Ltd.,2018-01-19,A,A
Taiwan Business Bank,2017-01-25,BBB+,BBB+
Yuanta Commercial Bank,2017-01-20,BBB+,BBB+
The Export-Import Bank of the Republic of China,2017-01-03,AA-,AA-
CTBC Bank Co. Ltd.,2016-09-26,A,A
First Commercial Bank Ltd.,2015-10-05,A-,A-
"KGI Bank (Formerly: Cosmos Bank,Taiwan)",2014-09-15,BBB,BBB
Taipei Fubon Commercial Bank Co. Ltd.,2013-06-26,A-,A-
"The Shanghai Commercial & Savings Bank, Ltd.",2012-12-18,BBB+,BBB+
HSBC Bank (Taiwan) Ltd.,2010-03-31,A+,A+
Mega International Commercial Bank Co. Ltd.,2009-10-01,A,A
Cathay United Bank Co. Ltd.,2009-04-29,A-,A-
Land Bank of Taiwan,2009-01-12,A-,A-
Bank of Taiwan,2005-03-21,A+,A+
SinoPac Securities Corp.,2018-08-13,BBB+,BBB+
KGI Securities Co. Ltd.,2014-08-04,BBB,BBB
Hotai Finance Co. Ltd.,2020-08-10,BBB,BBB
